,id,currency,price_display,square_feet,address,cityname,state
86,5664578591,USD,965,250,,Medford Lakes,NJ
87,5668624721,USD,955,250,,Glen Burnie,MD
88,5664571537,USD,950,250,,Littleton,CO
89,5664571551,USD,950,250,,Aurora,CO
90,5664572242,USD,930,250,,Concord,CA
91,5668619413,USD,925,250,,Lafayette,CO
92,5664574194,USD,925,250,1st Avenue,Chula Vista,CA
93,5664571566,USD,925,250,,Glen Burnie,MD
94,5668612560,USD,915,250,,Highlands Ranch,CO
95,5668624591,USD,900,250,,Laurel,MD
96,5668622471,USD,900,250,,Orlando,FL
97,5668619405,USD,900,250,,Boulder,CO
98,5664571546,USD,900,250,,Aurora,CO
99,5659899184,USD,900,250,,La Puente,CA
100,5648113751,USD,900,250,,Anaheim,CA
101,5664570238,USD,895,250,,Commerce City,CO
102,5664571538,USD,895,250,,Arvada,CO
103,5664574816,USD,875,250,,Arlington,VA
104,5668619515,USD,865,250,,Naples,FL
105,5668624193,USD,865,250,,Atlanta,GA
106,5668622813,USD,860,250,,Sarasota,FL
107,5668623669,USD,855,250,,Aurora,CO
108,5668624596,USD,850,250,,Lorton,VA
109,5668619325,USD,850,250,145 S Grand St,Fort Lupton,CO
110,5668624585,USD,850,250,,Woodbridge,VA
111,5668622159,USD,850,250,22nd Avenue North,Nashville,TN
112,5664574103,USD,850,250,,Saint Petersburg,FL
113,5664569721,USD,850,250,,Portland,OR
114,5664575324,USD,825,250,,Joppa,MD
115,5668624279,USD,805,250,,Atlanta,GA
116,5668619409,USD,800,250,,Broomfield,CO
117,5668623652,USD,800,250,,Englewood,CO
118,5668624325,USD,800,250,,Potomac,MD
119,5668622638,USD,800,250,,Deltona,FL
120,5668622770,USD,800,250,,Lodi,CA
121,5664567290,USD,800,250,,Jacksonville,FL
122,5668623636,USD,795,250,,Parker,CO
123,5668622755,USD,785,250,,Fountain,CO
124,5668619495,USD,785,250,,Fort Collins,CO
125,5668619485,USD,760,250,,Loveland,CO
126,5668622484,USD,755,250,,Longwood,FL
127,5668619712,USD,755,250,,Bear,DE
128,5668614798,USD,755,250,,Hummelstown,PA
129,5668623963,USD,750,250,,Riverside,CA
130,5668620774,USD,750,250,,Port Saint Lucie,FL
131,5668624602,USD,750,250,,Germantown,MD
132,5659898660,USD,750,250,,Charlotte,NC
133,5668622131,USD,725,250,,Nashville,TN
134,5664573229,USD,725,250,,Hiram,GA
135,5668622573,USD,720,250,,Converse,TX
136,5668624702,USD,705,250,,Houston,TX
137,5668625131,USD,700,250,,Apache Junction,AZ
138,5668622362,USD,700,250,,Austin,TX
139,5668619397,USD,700,250,,Broomfield,CO
140,5668625134,USD,700,250,,Scottsdale,AZ
141,5668622438,USD,700,250,,Orlando,FL
142,5664575334,USD,700,250,,Baltimore,MD
143,5664571532,USD,700,250,,Centennial,CO
144,5664571534,USD,700,250,,Lakewood,CO
145,5664570380,USD,700,250,,Kyle,TX
146,5668620019,USD,695,250,4117 University Avenue,Cedar Falls,IA
147,5664577738,USD,695,250,,Summit,IL
148,5668622919,USD,685,250,,Columbia,SC
149,5664577241,USD,685,250,,Phoenix,AZ
150,5664574886,USD,675,250,,Houston,TX
151,5642321533,USD,675,250,,Coon Rapids,MN
152,5664577303,USD,660,250,,Phoenix,AZ
153,5668623923,USD,650,250,,Baltimore,MD
154,5668620500,USD,650,250,,Salem,OR
155,5668619341,USD,650,250,,Chiefland,FL
156,5664569086,USD,650,250,,San Antonio,TX
157,5664568007,USD,650,250,,Antioch,TN
158,5668620584,USD,645,250,,Surfside Beach,SC
159,5659898888,USD,645,250,,Charlotte,NC
160,5668622807,USD,625,250,,Venice,FL
161,5668622658,USD,625,250,,,
162,5664577304,USD,610,250,,Phoenix,AZ
163,5668619634,USD,600,250,,Spring Hill,FL
164,5668623447,USD,600,250,,Tucson,AZ
165,5668624231,USD,600,250,,Dunwoody,GA
166,5668619318,USD,600,250,,Santa Cruz,CA
167,5664573938,USD,600,250,,Tampa,FL
168,5664598050,USD,600,250,101 Bridge St,Houghton,MI
169,5664579687,USD,600,250,,Raleigh,NC
170,5668618570,USD,595,250,,New Canton,VA
171,5668619650,USD,580,250,,Vero Beach,FL
172,5668620590,USD,575,250,,Coatesville,PA
173,5664568706,USD,575,250,,Winter Springs,FL
174,5668623914,USD,550,250,,Clarksville,MD
175,5668625024,USD,550,250,,Springfield,VA
176,5668620580,USD,500,250,,Little River,SC
177,5668624678,USD,500,250,,Bacliff,TX
178,5668614356,USD,500,250,,Paulden,AZ
179,5668614767,USD,499,250,101 Compton Dr,Frankfort,KY
180,5664577170,USD,495,250,,Phoenix,AZ
181,5664571561,USD,200,250,,Mount Airy,MD
182,5668639806,USD,1325,253,4528 44th Avenue SW,Seattle,WA
183,5668639575,USD,1400,255,111-117 Lake St S,Kirkland,WA
184,5668612986,USD,1995,258,1025 Post St,San Francisco,CA
185,5668616388,USD,710,265,404 Chamberlain Avenue,Madison,WI
186,5668616880,USD,1659,272,3220 Connecticut Avenue NW,Washington,DC
187,5668623998,USD,1600,272,,San Leandro,CA
188,5668621331,USD,850,273,916 N College Ave,Bloomington,IN
189,5664583637,USD,1900,275,621 Begonia Ave,Corona Del Mar,CA
190,5659899312,USD,1505,275,,Los Angeles,CA
191,5664577215,USD,900,275,,Gilbert,AZ
192,5668625245,USD,892,275,661 W Sheridan Road,Chicago,IL
193,5509021365,USD,705,275,,Cincinnati,OH
194,5668624587,USD,1240,280,,Oxon Hill,MD
195,5668640480,USD,870,285,337 E 4th Avenue,Anchorage,AK
196,5668637373,USD,1095,286,4875 N Magnolia Avenue,Chicago,IL
197,5668637855,USD,1350,288,1307 N Northgate Way,Seattle,WA
198,5509169687,USD,865,288,,Oakdale,PA
199,5664573764,USD,690,288,8525 North,Tampa,FL
200,5668632975,USD,1099,290,610 NW 17th Avenue,Portland,OR
201,5659898774,USD,700,290,700 10th Avenue SE,Minneapolis,MN
202,5668632499,USD,850,296,7 S Linn St,Iowa City,IA
203,5668636664,USD,2200,300,249-251 Emerson St,Palo Alto,CA
204,5509253425,USD,2112,300,,Ramsey,NJ
205,5509211069,USD,1868,300,,Monrovia,CA
207,5508863370,USD,1575,300,,Los Angeles,CA
210,5509135990,USD,1470,300,,Glen Burnie,MD
212,5668624897,USD,1425,300,2612 W 2nd St,Brooklyn,NY
214,5668634764,USD,1195,300,420 Vine St,Seattle,WA
215,5668628557,USD,995,300,5860 N Kenmore Ave,Chicago,IL
216,5509171057,USD,975,300,,Long Beach,CA
217,5668614256,USD,911,300,5326 S Cornell Avenue,Chicago,IL
218,5664597909,USD,900,300,2907 West Avenue,Austin,TX
219,5668619492,USD,800,300,,Fort Collins,CO
220,5668624249,USD,800,300,,Decatur,GA
221,5664570231,USD,795,300,,Denver,CO
222,5637621543,USD,795,300,,Sarasota,FL
223,5664579914,USD,775,300,928 N 15th St,Milwaukee,WI
224,5668628540,USD,760,300,5748 S Blackstone Avenue,Chicago,IL
225,5664573918,USD,750,300,,Wesley Chapel,FL
226,5668615025,USD,725,300,,Tiverton,RI
227,5668624253,USD,700,300,,Stockbridge,GA
228,5668625646,USD,650,300,855 Chambers Road,Columbus,OH
229,5668638112,USD,595,300,125 N 1st St,Grand Junction,CO
230,5668621247,USD,590,300,520 North Grant St,Bloomington,IN
231,5668621262,USD,590,300,"303,315 E 8th  417 N Grant",Bloomington,IN
232,5668621281,USD,585,300,507 And 508 South Fess Avenue,Bloomington,IN
233,5668621439,USD,580,300,1010 S First St,Champaign,IL
234,5653562744,USD,400,300,,Raleigh,NC
236,5668611625,USD,1195,301,695 W 3rd St,Reno,NV
237,5668611633,USD,1094,306,160 Sinclair St,Reno,NV
238,5668618430,USD,725,308,221 W Wood St,West Lafayette,IN
239,5668640814,USD,1099,309,7228 N Burlington Avenue,Portland,OR
240,5668613174,USD,1222,310,18 East Meadow Ln,Lowell,MA
241,5668613088,USD,2195,313,709 Geary St,San Francisco,CA
242,5664572479,USD,760,313,1308 Central Ave,Indianapolis,IN
243,5668622646,USD,650,314,425 Park Boulevard,Ogden,UT
244,5668622999,USD,2695,315,1547 Clay St,San Francisco,CA
245,5668614536,USD,730,315,915 W 27th Ave,Anchorage,AK
246,5668638866,USD,659,315,1232 Man O War Place #2,Lexington,KY
247,5668618184,USD,775,317,707 South St,Lafayette,IN
248,5664596628,USD,1350,318,5500 Friendship Boulevard #2206n,Chevy Chase,MD
249,5664577721,USD,1100,319,6807 N Sheridan Road,Chicago,IL
250,5664577140,USD,965,320,2256 N Cleveland,Chicago,IL
251,5664568331,USD,675,320,2901 Euclid Ave,Cleveland,OH
252,5664570245,USD,925,321,,Lakewood,CO
253,5668634897,USD,845,322,735 W Wisconsin Avenue,Milwaukee,WI
254,5668616345,USD,700,324,409 W Wilson St,Madison,WI
255,5508702256,USD,2700,325,,Boston,MA
256,5668628784,USD,1995,325,211 Yacht Club Way,Redondo Beach,CA
257,5668634930,USD,1350,325,4110 12th Avenue NE,Seattle,WA
258,5668628347,USD,1349,325,61 E 21st St,Chicago,IL
259,5668623751,USD,975,325,811 E Bridger Avenue,Las Vegas,NV
260,5664575773,USD,925,325,644 W Surf,Chicago,IL
261,5668614275,USD,899,325,4721 29 South Ellis St,Chicago,IL
262,5648058145,USD,700,325,1458 East Main St,Bridgeport,CT
263,5668618988,USD,325,325,2836 Airport Hwy,Toledo,OH
264,5508764178,USD,915,330,,Denver,CO
265,5668618398,USD,799,330,108 N Salisbury St,West Lafayette,IN
266,5668615232,USD,710,330,615 E Armour Boulevard,Kansas City,MO
267,5664572160,USD,2695,332,634 Powell St,San Francisco,CA
268,5668623688,USD,2295,332,691 O'Farrell St,San Francisco,CA
269,5668612505,USD,1079,333,1251 S Bellaire St,Denver,CO
270,5668632154,USD,1386,334,1211 East 5th St,Austin,TX
271,5668641443,USD,800,335,600 E 5th St,Des Moines,IA
272,5668613060,USD,2195,336,449 O'Farrell St,San Francisco,CA
273,5668626560,USD,1100,336,3575 N Oakland Avenue,Shorewood,WI
274,5668613488,USD,1099,336,610 Horatio St,Tampa,FL
275,5668623407,USD,625,336,919 N Stone Avenue,Tucson,AZ
276,5668629766,USD,809,337,1521 Reagan Hill Dr,Austin,TX
277,5668613122,USD,2295,338,685 Geary St,San Francisco,CA
278,5668619348,USD,1160,338,1258 NW 3rd Avenue,Gainesville,FL
279,5668619620,USD,998,338,1636 N 3rd Ave,Wausau,WI
280,5664569719,USD,990,338,901 SW King Ave,Portland,OR
281,5664576932,USD,785,340,528 State St,Madison,WI
282,5668618403,USD,720,340,400 S Grant St,West Lafayette,IN
283,5668625140,USD,1240,341,27 E 7th St,Tempe,AZ
284,5668611834,USD,2395,342,814 California St,San Francisco,CA
285,5668618068,USD,480,342,705 N 5th St,Lafayette,IN
286,5668621169,USD,800,344,1351 Passenger St,Chattanooga,TN
287,5668612782,USD,1655,346,1516 NW 51st St,Seattle,WA
288,5664576635,USD,899,346,116 Oak Grove St,Minneapolis,MN
289,5668640290,USD,600,347,3717-21 Westminster Place Westminster Place,Saint Louis,MO
290,5664571373,USD,699,348,701 E Armour Blvd,Kansas City,MO
291,5668622355,USD,2195,350,434 Leavenworth St,San Francisco,CA
292,5668619521,USD,1670,350,518 E William St,Ann Arbor,MI
293,5668623706,USD,1650,350,,San Jose,CA
294,5668611708,USD,1550,350,4201 Mass Avenue NW,Washington,DC
295,5668633830,USD,1400,350,4226 W Adams Boulevard,Los Angeles,CA
296,5668639298,USD,1299,350,1385 NW 22nd Avenue,Portland,OR
297,5668635974,USD,1299,350,1718 Summit Avenue,Seattle,WA
298,5668614656,USD,1200,350,1 Water St,Haverhill,MA
299,5668634074,USD,1145,350,4311 Spruce St,Philadelphia,PA
300,5642323438,USD,1000,350,1610 Chadbourne Avenue,Madison,WI
301,5668637358,USD,940,350,4750 N Clarendon Avenue,Chicago,IL
302,5668615828,USD,895,350,5350 Silverthorne Road,Westerville,OH
303,5664594444,USD,875,350,306 W 38th St,Austin,TX
304,5668639601,USD,849,350,7220 E McKellips Road,Scottsdale,AZ
305,5668627131,USD,800,350,6341 S Western Avenue,Chicago,IL
306,5668635065,USD,710,350,328 W 8th Ave,Spokane,WA
307,5661066538,USD,699,350,14001 Bedford Road NE,Cumberland,MD
308,5668614530,USD,695,350,810 E 42nd Avenue,Anchorage,AK
309,5668636644,USD,600,350,122-126 East Genesee St,Syracuse,NY
310,5668616683,USD,592,350,3020 S Sixth Avenue,Tucson,AZ
311,5664570019,USD,1225,351,3910 NE Tillamook St,Portland,OR
312,5668631012,USD,1246,352,1630 E 6th St,Austin,TX
313,5508757694,USD,1225,352,,Los Angeles,CA
314,5664570847,USD,675,354,133 SW McClendon Dr,Lees Summit,MO
315,5668632876,USD,1400,355,845 N Harvard Boulevard,Los Angeles,CA
316,5668618816,USD,585,355,509 W Main,Urbana,IL
317,5659895845,USD,1125,357,4659 S Drexel Boulevard,Chicago,IL
318,5508743935,USD,614,357,,Cleveland,OH
319,5653583206,USD,1225,360,60 S Munn Avenue,East Orange,NJ
320,5668636444,USD,875,360,155 Liberty St NE,Salem,OR
321,5668633130,USD,850,360,1919 Burton Drive,Austin,TX
322,5668616328,USD,670,360,511 W Doty St,Madison,WI
323,5668618687,USD,639,360,103 E Chalmers,Champaign,IL
324,5668623348,USD,495,360,2613 E Archer St,Tulsa,OK
325,5668616860,USD,1750,362,3701 Massachusetts Ave NW,Washington,DC
326,5668628306,USD,1050,362,6012 N Kenmore,Chicago,IL
327,5668630792,USD,950,362,4548 Ave A,Austin,TX
328,5664594714,USD,1200,367,1415 SE Pardee St,Portland,OR
329,5668625554,USD,985,367,5300 5308 S Hyde Park Blvd,Chicago,IL
330,5668628792,USD,965,368,1199 Whitney Ave,Hamden,CT
331,5668620286,USD,530,368,415 Mitzi St #7,North Muskegon,MI
332,5668635088,USD,1530,369,2302 E Denny Way,Seattle,WA
333,5509172998,USD,1000,369,,Long Beach,CA
334,5664571040,USD,720,369,300 E Armour Blvd,Kansas City,MO
335,5668634322,USD,1225,370,32 Union St,New Brunswick,NJ
336,5668635535,USD,1025,370,1431 SW Park Avenue,Portland,OR
337,5664575184,USD,765,370,800 E South St,Alvin,TX
338,5668637385,USD,1975,375,2501 Pico Boulevard,Santa Monica,CA
339,5668641159,USD,1525,375,1830 Underpass St 1-41,San Diego,CA
340,5664570003,USD,1175,375,2350 SE 37th Avenue,Portland,OR
341,5668630075,USD,940,375,3220 Duval Road,Austin,TX
342,5668618280,USD,850,375,120 Wiggins,West Lafayette,IN
343,5668634460,USD,829,375,6060 N 7th St,Phoenix,AZ
344,5668618437,USD,799,375,230 S Grant St,West Lafayette,IN
345,5648108607,USD,773,375,1405 5th St SE,Minneapolis,MN
346,5668619724,USD,386,375,505 Stoughton Road,Edgerton,WI
347,5668611322,USD,1400,377,10495 SW 14th Terrace,Miami,FL
348,5664572139,USD,3095,378,240 Cumberland St,San Francisco,CA
349,5664569981,USD,1275,378,2100 SE Belmont St,Portland,OR
350,5668630351,USD,929,378,2504 Manor,Austin,TX
351,5509101125,USD,1591,379,,Cerritos,CA
352,5668624069,USD,2895,380,1520 Gough St,San Francisco,CA
353,5664568091,USD,2695,380,2079 Market St,San Francisco,CA
354,5668638614,USD,1400,380,942 Beech St,San Diego,CA
355,5668614605,USD,955,380,124 E 3rd Avenue,Anchorage,AK
356,5668616688,USD,540,380,2855 W Anklam Rd,Tucson,AZ
357,5668613041,USD,2895,381,795 Pine St,San Francisco,CA
358,5668611802,USD,2874,382,33 8th St,San Francisco,CA
359,5668623153,USD,635,382,301 Lippencott St,Knoxville,TN
360,5668614269,USD,902,384,4726 4740 South Woodlawn Avenue,Chicago,IL
361,5668613161,USD,2395,385,1126 Bush St,San Francisco,CA
362,5668628100,USD,1250,385,8216 N Chautauqua Boulevard,Portland,OR
363,5668621224,USD,540,385,421 429 439 441 South Dunn St,Bloomington,IN
364,5650232719,USD,350,385,,Central City,KY
365,5664569726,USD,1262,386,1818 SW 4th Ave,Portland,OR
366,5668615493,USD,1115,389,4725 SE Division St,Portland,OR
367,5668622093,USD,2095,390,1 Point St,Providence,RI
368,5668611664,USD,1800,390,2651 16th St NW,Washington,DC
369,5668611302,USD,879,390,4618 Middlebrook Rd,Orlando,FL
370,5668618381,USD,699,390,325 Pearl St,West Lafayette,IN
371,5668619192,USD,640,390,704 Stoughton,Urbana,IL
372,5668630261,USD,999,391,3506 Manchaca,Austin,TX
373,5668632514,USD,959,391,2705 Manor,Austin,TX
374,5668626066,USD,1654,393,2400 Pennsylvania Avenue NW,Washington,DC
375,5668622510,USD,995,393,6701 Blanco Rd,Castle Hills,TX
376,5668631356,USD,919,394,2700 Manor,Austin,TX
377,5668633826,USD,1350,395,542 N Alexandria,Los Angeles,CA
378,5659895829,USD,1045,395,5301 5309 South Ellis St,Chicago,IL
379,5668628078,USD,976,395,3517 North Hills Drive,Austin,TX
380,5668618059,USD,762,395,2110 Bill McDonald Parkway Suite 1,Bellingham,WA
381,5668629512,USD,1050,396,1901 Mariposa Drive,Austin,TX
382,5664569921,USD,1225,397,4111 NE Broadway St,Portland,OR
383,5668623772,USD,2495,398,676 Geary St,San Francisco,CA
384,5668625567,USD,1173,398,5242 S Hyde Park Boulevard,Chicago,IL
385,5668631549,USD,1005,398,3505 South Lamar,Austin,TX
386,5664594935,USD,1000,398,,Austin,TX
387,5668629589,USD,875,398,7227 E Highway 290,Austin,TX
388,5664573326,USD,3000,400,,Dania Beach,FL
389,5668626787,USD,2450,400,1846 9th St Unit 4,Santa Monica,CA
390,5664579681,USD,2050,400,,Anaheim,CA
391,5668613871,USD,1659,400,1421 Massachusetts Avenue,Washington,DC
392,5668624525,USD,1625,400,,Auburn,WA
393,5668625626,USD,1599,400,178-60 Wexford Terrace,,
394,5659896504,USD,1599,400,86-25 Van Wyck Expressway,Briarwood,NY
395,5668623069,USD,1580,400,,,
396,5664574202,USD,1500,400,,San Marcos,CA
397,5659898938,USD,1500,400,,Anaheim,CA
398,5668610970,USD,1450,400,4217 Oliver Court,San Diego,CA
399,5664571831,USD,1415,400,,San Rafael,CA
400,5664571556,USD,1400,400,,Aurora,CO
401,5668619601,USD,1395,400,728 S Main St,Ann Arbor,MI
402,5668640658,USD,1375,400,3675-3773 King St,La Mesa,CA
403,5664579736,USD,1355,400,,Bellflower,CA
404,5664574812,USD,1345,400,42nd St N.E,Washington,DC
405,5664575536,USD,1250,400,,Somerville,MA
406,5668625256,USD,1242,400,1606 E Hyde Park Boulevard,Chicago,IL
407,5664569846,USD,1225,400,700 SE Cesar E Chavez Boulevard,Portland,OR
408,5664570450,USD,1215,400,,San Jose,CA
409,5668625324,USD,1200,400,,Phoenix,AZ
410,5642311284,USD,1160,400,410 N Butler St,Madison,WI
411,5664575364,USD,1150,400,8101-B Greenspring Way,Owings Mills,MD
412,5668612545,USD,1100,400,,Arvada,CO
413,5509104331,USD,1100,400,,Portsmouth,NH
414,5664573902,USD,1099,400,301 S Gomez Avenue,Tampa,FL
415,5668628123,USD,1095,400,700 Hearn St,Austin,TX
416,5668631558,USD,1090,400,1300 Spyglass Dr,Austin,TX
417,5668631483,USD,1085,400,2207 South 5th St,Austin,TX
418,5668628628,USD,1050,400,1608 W Sherwin Ave,Chicago,IL
419,5668631285,USD,1045,400,1200 Barton Hills Drive,Austin,TX
420,5668632377,USD,1040,400,2121 Dickson Drive,Austin,TX
421,5668624290,USD,1035,400,,Pembroke Pines,FL
422,5668612530,USD,1012,400,15400 East Evans Ave,Aurora,CO
423,5668625444,USD,1000,400,3801 Spring Garden St,Philadelphia,PA
424,5668619281,USD,1000,400,,Tacoma,WA
425,5668636586,USD,995,400,620 16th St East #1-5,Minneapolis,MN
426,5668629298,USD,975,400,1020 E 45th St,Austin,TX
427,5664594432,USD,975,400,1814 Waterston Ave,Austin,TX
428,5664573267,USD,975,400,,Pembroke Pines,FL
429,5642309923,USD,950,400,,Clayton,NC
430,5659899325,USD,945,400,817 12th Avenue SE,Minneapolis,MN
431,5668633423,USD,925,400,2104 San Gabriel St,Austin,TX
432,5668624270,USD,925,400,,Roswell,GA
433,5509119627,USD,925,400,,Newmarket,NH
434,5668628840,USD,919,400,,Saint Louis Park,MN
435,5668619424,USD,910,400,,Boulder,CO
436,5668630143,USD,900,400,2601 Penny Ln,Austin,TX
437,5668624593,USD,900,400,,Manassas,VA
438,5664568190,USD,900,400,,Austin,TX
439,5668556637,USD,899,400,15910 Warwick Boulevard,Newport News,VA
440,5668640719,USD,895,400,2919 West Avenue,Austin,TX
441,5668628125,USD,895,400,6811 Great Northern,Austin,TX
442,5664594437,USD,895,400,3408 Speedway,Austin,TX
443,5664594462,USD,895,400,910 West 26th St,Austin,TX
444,5668612540,USD,875,400,,Thornton,CO
445,5668629713,USD,875,400,1300 Parker Lane,Austin,TX
446,5664569960,USD,875,400,,Gresham,OR
447,5668622025,USD,865,400,,West Hartford,CT
448,5668629969,USD,857,400,2005 Willow Creek,Austin,TX
449,5668633878,USD,850,400,802 Stanford,Houston,TX
450,5668623572,USD,850,400,,,
451,5664575300,USD,850,400,,Houston,TX
452,5668619333,USD,845,400,,Fort Lupton,CO
453,5653497433,USD,829,400,2106 Saint Paul St Apartment 1f,Baltimore,MD
454,5668612535,USD,800,400,,Aurora,CO
455,5668618282,USD,799,400,455 N Grant St,West Lafayette,IN
456,5668614246,USD,799,400,6700 S Oglesby,Chicago,IL
457,5649365290,USD,750,400,2648 Starfish Court,Las Vegas,NV
458,5664595012,USD,720,400,407 11th Avenue SW,Forest Lake,MN
459,5642310364,USD,720,400,1586  1588 Indianola Avenue,Columbus,OH
460,5668619419,USD,700,400,,Longmont,CO
461,5664570053,USD,700,400,,Denver,CO
462,5668626264,USD,695,400,1200 W 16th St,Cameron,TX
463,5664567210,USD,691,400,,Jacksonville,FL
464,5664573248,USD,690,400,SW 78 Th CT Miami,Miami,FL
465,5668636761,USD,660,400,508 E Cottage Grove Avenue 515 E 10th St,Bloomington,IN
466,5668633427,USD,615,400,1136 South 29th St,Omaha,NE
467,5668614830,USD,600,400,,North Fort Myers,FL
468,5664570044,USD,600,400,,Denver,CO
469,5668618128,USD,599,400,18 S 4th St,Lafayette,IN
470,5508779254,USD,500,400,,Greensboro,NC
471,5508658972,USD,499,400,,Shreveport,LA
472,5668623623,USD,475,400,,Denver,CO
473,5668632624,USD,435,400,4151-4201 Logangate Rd,Youngstown,OH
474,5668632677,USD,425,400,505 4th St SW,Minot,ND
475,5668620544,USD,300,400,4440 Gulfway Drive,Port Arthur,TX
476,5668630005,USD,975,401,301 W 39th St,Austin,TX
477,5668611746,USD,2460,402,250 Kendall St,Cambridge,MA
478,5664579835,USD,1050,403,11220 District Drive,Wauwatosa,WI
479,5668619676,USD,1198,404,202 West Longleaf Dr,Auburn,AL
480,5668621906,USD,635,404,5555 East 14th St,Tucson,AZ
481,5668610554,USD,1975,405,136  138 Highland Ave,Somerville,MA
482,5509125365,USD,1725,405,,Seal Beach,CA
483,5668613835,USD,1495,405,3300 16th St NW,Washington,DC
484,5668636052,USD,1085,405,1640 North Water St,Milwaukee,WI
485,5508716887,USD,1085,405,,Denver,CO
486,5544562168,USD,849,405,5115 N 40th St,Phoenix,AZ
